event-id,visible,timestamp,location-long,location-lat,gps:dop,gps-time-to-fix,height-above-msl,sensor-type,individual-taxon-canonical-name,tag-local-identifier,individual-local-identifier,study-name
3401862979,true,2007-03-24 16:00:00.000,-75.46782,4.728535,2.8,19.0,2934.0,"gps","Tapirus pinchaque","1(T5H-1363)-Tag","1(T5H-1363)","Mountain tapir, Colombia"
3401862980,true,2007-03-24 17:30:00.000,-75.467662,4.728732,1.9,44.0,2912.0,"gps","Tapirus pinchaque","1(T5H-1363)-Tag","1(T5H-1363)","Mountain tapir, Colombia"
3401862981,true,2007-03-24 18:00:00.000,-75.467663,4.728655,1.9,41.0,2913.0,"gps","Tapirus pinchaque","1(T5H-1363)-Tag","1(T5H-1363)","Mountain tapir, Colombia"
3401862982,true,2007-03-24 18:30:00.000,-75.467672,4.728563,1.6,41.0,2913.0,"gps","Tapirus pinchaque","1(T5H-1363)-Tag","1(T5H-1363)","Mountain tapir, Colombia"
3401862983,true,2007-03-24 19:00:00.000,-75.467842,4.728452,2.1,61.0,0.0,"gps","Tapirus pinchaque","1(T5H-1363)-Tag","1(T5H-1363)","Mountain tapir, Colombia"
3401862984,true,2007-03-24 20:31:00.000,-75.467815,4.72863,2.0,80.0,0.0,"gps","Tapirus pinchaque","1(T5H-1363)-Tag","1(T5H-1363)","Mountain tapir, Colombia"
3401862985,true,2007-03-24 21:00:00.000,-75.467873,4.72854,1.9,42.0,2913.0,"gps","Tapirus pinchaque","1(T5H-1363)-Tag","1(T5H-1363)","Mountain tapir, Colombia"
3401862986,true,2007-03-24 21:30:00.000,-75.467632,4.728543,3.0,24.0,2915.0,"gps","Tapirus pinchaque","1(T5H-1363)-Tag","1(T5H-1363)","Mountain tapir, Colombia"
3401862987,true,2007-03-24 22:00:00.000,-75.467932,4.728677,2.9,20.0,3000.0,"gps","Tapirus pinchaque","1(T5H-1363)-Tag","1(T5H-1363)","Mountain tapir, Colombia"
3401862988,true,2007-03-24 22:30:00.000,-75.46701,4.72834,12.8,52.0,0.0,"gps","Tapirus pinchaque","1(T5H-1363)-Tag","1(T5H-1363)","Mountain tapir, Colombia"
3401862989,true,2007-03-24 23:00:00.000,-75.46754,4.72782,6.0,55.0,0.0,"gps","Tapirus pinchaque","1(T5H-1363)-Tag","1(T5H-1363)","Mountain tapir, Colombia"
3401862990,true,2007-03-24 23:31:00.000,-75.467795,4.728463,3.1,73.0,2955.0,"gps","Tapirus pinchaque","1(T5H-1363)-Tag","1(T5H-1363)","Mountain tapir, Colombia"
3401862991,true,2007-03-25 00:00:00.000,-75.467952,4.728442,3.0,31.0,2933.0,"gps","Tapirus pinchaque","1(T5H-1363)-Tag","1(T5H-1363)","Mountain tapir, Colombia"
3401862992,true,2007-03-25 01:00:00.000,-75.467797,4.728313,6.1,56.0,0.0,"gps","Tapirus pinchaque","1(T5H-1363)-Tag","1(T5H-1363)","Mountain tapir, Colombia"
3401862993,true,2007-03-25 02:00:00.000,-75.467813,4.728482,2.1,44.0,2957.0,"gps","Tapirus pinchaque","1(T5H-1363)-Tag","1(T5H-1363)","Mountain tapir, Colombia"
3401862994,true,2007-03-25 02:31:00.000,-75.467458,4.729395,2.8,73.0,0.0,"gps","Tapirus pinchaque","1(T5H-1363)-Tag","1(T5H-1363)","Mountain tapir, Colombia"
3401862995,true,2007-03-25 03:00:00.000,-75.46836,4.72987,1.6,21.0,2972.0,"gps","Tapirus pinchaque","1(T5H-1363)-Tag","1(T5H-1363)","Mountain tapir, Colombia"
3401862996,true,2007-03-25 03:30:00.000,-75.468708,4.729668,3.5,18.0,2927.0,"gps","Tapirus pinchaque","1(T5H-1363)-Tag","1(T5H-1363)","Mountain tapir, Colombia"
3401862997,true,2007-03-25 04:00:00.000,-75.46843,4.729377,4.4,18.0,2948.0,"gps","Tapirus pinchaque","1(T5H-1363)-Tag","1(T5H-1363)","Mountain tapir, Colombia"
3401862998,true,2007-03-25 04:30:00.000,-75.468355,4.729535,1.9,44.0,2948.0,"gps","Tapirus pinchaque","1(T5H-1363)-Tag","1(T5H-1363)","Mountain tapir, Colombia"
3401862999,true,2007-03-25 05:00:00.000,-75.468117,4.729907,2.6,23.0,2806.0,"gps","Tapirus pinchaque","1(T5H-1363)-Tag","1(T5H-1363)","Mountain tapir, Colombia"
3401863000,true,2007-03-25 05:30:00.000,-75.468823,4.728597,3.6,53.0,0.0,"gps","Tapirus pinchaque","1(T5H-1363)-Tag","1(T5H-1363)","Mountain tapir, Colombia"
