timestamp,location-long,location-lat,sensor-type,individual-local-identifier
00:00.0,-115.47033,51.61578,gps,85
00:00.0,-115.59252,51.61986,gps,85
00:00.0,-115.66782,51.58222,gps,85
00:00.0,-115.66741,51.58212,gps,85
00:00.0,-115.66805,51.58224,gps,85
00:00.0,-115.66914,51.58375,gps,85
00:00.0,-115.66952,51.58412,gps,85
00:00.0,-115.66924,51.58395,gps,85
00:00.0,-115.67062,51.58401,gps,85
00:00.0,-115.67044,51.58396,gps,85
00:00.0,-115.6692,51.58409,gps,85
00:00.0,-115.66746,51.58262,gps,85
00:00.0,-115.66695,51.5822,gps,85
00:00.0,-115.64429,51.59133,gps,85
00:00.0,-115.4795,51.61683,gps,85
00:00.0,-115.48145,51.61465,gps,85
00:00.0,-115.48144,51.61452,gps,85
00:00.0,-115.48177,51.61489,gps,85
00:00.0,-115.4611,51.62425,gps,85
00:00.0,-115.47875,51.62857,gps,85
00:00.0,-115.4783,51.63017,gps,85
00:00.0,-115.6687,51.58258,gps,85
00:00.0,-115.66897,51.58233,gps,85
00:00.0,-115.6708,51.58201,gps,85
00:00.0,-115.70306,51.57689,gps,85
00:00.0,-115.71104,51.57675,gps,85
00:00.0,-115.6695,51.58404,gps,85
00:00.0,-115.66974,51.58416,gps,85
00:00.0,-115.66997,51.58441,gps,85
00:00.0,-115.67055,51.58411,gps,85
00:00.0,-115.68266,51.59302,gps,85
00:00.0,-115.66846,51.58224,gps,85
00:00.0,-115.6665,51.58225,gps,85
00:00.0,-115.66839,51.58249,gps,85
00:00.0,-115.69419,51.57067,gps,85
00:00.0,-115.70663,51.56838,gps,85
00:00.0,-115.7061,51.56838,gps,85
00:00.0,-115.70095,51.56703,gps,85
00:00.0,-115.66776,51.5823,gps,85
00:00.0,-115.69999,51.56794,gps,85
00:00.0,-115.66798,51.58215,gps,85
00:00.0,-115.66759,51.58217,gps,85
00:00.0,-115.66781,51.58222,gps,85
00:00.0,-115.65635,51.59537,gps,85
00:00.0,-115.61392,51.6187,gps,85
00:00.0,-115.54966,51.65082,gps,85
00:00.0,-115.50732,51.65576,gps,85
00:00.0,-115.48331,51.65266,gps,85
00:00.0,-115.45503,51.61455,gps,85
00:00.0,-115.45484,51.61453,gps,85
00:00.0,-115.4532,51.61575,gps,85
00:00.0,-115.45957,51.62357,gps,85
00:00.0,-115.45616,51.66592,gps,85
00:00.0,-115.45608,51.66573,gps,85
00:00.0,-115.45606,51.66581,gps,85
00:00.0,-115.45597,51.66582,gps,85
00:00.0,-115.5259,51.63271,gps,85
00:00.0,-115.66783,51.58214,gps,85
00:00.0,-115.67092,51.58429,gps,85
00:00.0,-115.66854,51.58318,gps,85
00:00.0,-115.67107,51.58376,gps,85
00:00.0,-115.67125,51.58407,gps,85
00:00.0,-115.67112,51.58454,gps,85
00:00.0,-115.66954,51.58436,gps,85
00:00.0,-115.69446,51.5947,gps,85
00:00.0,-115.6873,51.58776,gps,85
00:00.0,-115.71188,51.42791,gps,85
00:00.0,-115.6881,51.41658,gps,85
00:00.0,-115.64554,51.39536,gps,85
00:00.0,-115.64532,51.38717,gps,85
00:00.0,-115.64441,51.38677,gps,85
00:00.0,-115.64303,51.38983,gps,85
00:00.0,-115.61737,51.38598,gps,85
00:00.0,-115.61832,51.38481,gps,85
00:00.0,-115.61802,51.38491,gps,85
00:00.0,-115.62271,51.37746,gps,85
00:00.0,-115.6847,51.45523,gps,85
00:00.0,-115.70108,51.56538,gps,85
00:00.0,-115.67127,51.58389,gps,85
00:00.0,-115.67097,51.58438,gps,85
00:00.0,-115.67039,51.58412,gps,85
00:00.0,-115.67003,51.58548,gps,85
00:00.0,-115.6708,51.58423,gps,85
00:00.0,-115.67091,51.5844,gps,85
00:00.0,-115.65487,51.59431,gps,85
00:00.0,-115.60826,51.60603,gps,85
00:00.0,-115.51417,51.62518,gps,85
00:00.0,-115.47033,51.6465,gps,85
00:00.0,-115.47796,51.65655,gps,85
00:00.0,-115.45374,51.66922,gps,85
00:00.0,-115.42076,51.65703,gps,85
